0014	26.2362	7.70374765	
0015	26.8292	7.53763946	
0016	27.8132	7.06643588	
0017	27.3122	7.31143002	
0018	26.5692	5.89667856	
0019	27.2272	5.08650429	
0020	27.1062	4.22434393	
0021	29.2812	3.78863667	
0022	28.7422	3.68754499	
0023	28.0772	7.26900187	
0024	28.8842	7.38742025	
0025	28.5632	7.7589457	
0026	28.5402	7.34754154	
0027	27.9262	7.66055037	
0028	29.0382	7.73142	
0029	29.5812	8.01318481	
0031	30.1253	7.70019993	
0032	30.1243	7.12411806	
0033	31.4203	6.83945202	
0034	31.5273	6.39751933	
0035	34.1643	5.70852064	
0036	30.8603	6.76517402	
0037	33.7393	5.69670609	
0038	32.8463	5.91043478	
0039	32.9463	5.81451425	
0040	32.0803	5.9625548	
0041	35.0573	0.149246192	
0042	35.5613	0.62303287	
0043	26.8582	0.0489384657	
0044	35.7003	1.31352929	
0045	32.4623	5.84980876	
0046	33.1213	5.69439528	
0048	30.1753	6.71101638	
0049	27.3652	5.63798991	
0050	27.3132	5.78593487	
0051	28.7492	4.34798815	
0052	29.1082	4.38656409	
0053	28.5462	4.40072967	
0054	28.4672	4.29043244	
0055	30.0003	3.64447111	
0056	30.8603	3.59125382	
0057	30.3573	6.22396937	
0058	30.8693	6.19128553	
0059	28.4832	5.97004776	
0060	28.5072	5.99469087	
0061	28.2992	5.9767409	
0062	29.4442	6.13806667	
0063	28.5432	5.79093852	
0065	29.3132	6.05570167	
0066	28.5012	5.71144021	
0067	29.4022	5.65632423	
0068	28.5832	5.64305603	
0069	28.3102	5.9343227	
0070	29.2002	5.75313928	
0071	28.7972	5.55397675	
0072	28.6722	5.76929792	
0073	28.6612	5.85306024	
0074	29.7692	5.75960129	
0075	29.4952	5.85361569	
0076	29.0852	5.82594668	
0077	30.9933	6.4438963	
0078	31.4173	6.53727853	
0079	28.9822	6.06201916	
0080	29.0612	5.89133792	
0030	30.5413	7.8981444	
0047	31.4663	6.28111792	
0064	28.9662	5.85416129	
0081	28.4022	5.6266223	
0098	28.6822	4.39231048	
0114	28.8332	7.90952593	
0082	30.2863	6.10840233	
0083	29.5872	6.07710686	
0084	25.5802	5.66321454	
0085	26.0122	5.62679822	
0086	25.6032	5.94986712	
0087	25.5042	5.78930238	
0088	25.5332	5.91662869	
0089	25.5472	5.91943597	
0090	25.7042	5.62394678	
0091	25.5372	5.54631304	
0092	26.8542	5.54032438	
0093	27.3702	5.904153	
0094	25.0652	5.81180752	
0095	25.3812	5.54628055	
0096	25.8462	5.07489513	
0097	26.6582	4.93508811	
0099	29.3172	3.38494915	
0100	29.6152	4.34242839	
0101	28.9092	4.45131405	
0102	27.8642	3.97576777	
0103	27.4692	3.99895019	
0104	30.0393	3.98326706	
0105	29.1512	3.9897595	
0106	30.1283	3.91184227	
0107	30.4403	3.85732896	
0108	30.9623	4.04390624	
0109	29.4652	4.27196582	
0110	32.4223	4.09978743	
0111	32.8823	4.15890404	
0112	27.7362	7.79914156	
0113	28.2102	8.13914863	
0115	27.8592	8.67793782	
0116	27.7842	8.45274951	
0117	27.9712	8.60968723	
